Scammed,Age_Group,Gender,Education_Level,Employment_Status,Income,Internet_Usage_Frequency,Most_Used_Platform,Daily_Online_Hours,Stranger_Interactions,Monthly_Online_Transactions,Active_Social_Media_Accounts,Email_Accounts,Shares_Personal_Info,Different_Passwords,Downloads_From_Untrusted_Sources,Response_To_Suspicious_Contacts,Online_Subscriptions,Reads_Reviews_Before_Buying,Max_Single_Transaction_Spend
1,0,1,0,3,0.0,0,1,10,3,20,3,4,0,2,4,2,0,0,1000
0,0,1,0,3,0.0,0,3,5,3,11,3,3,1,2,1,3,2,1,500
0,0,1,0,3,800.0,0,3,9,2,6,4,2,0,3,0,2,3,1,500
1,0,0,0,3,0.0,0,3,8,3,30,5,3,1,2,0,2,0,0,70
1,0,1,0,3,0.0,0,3,8,3,30,2,3,0,3,2,2,3,0,100
1,0,0,0,3,0.0,0,3,4,3,20,3,3,1,3,0,2,1,0,120
1,0,1,0,3,0.0,0,3,10,3,10,5,3,1,1,0,2,2,0,150
1,0,1,0,3,0.0,0,3,10,3,30,3,3,0,5,0,2,0,0,20
0,0,1,0,3,0.0,0,3,8,2,40,4,2,0,4,0,2,1,1,100
0,0,0,0,3,0.0,0,3,12,2,20,5,3,0,20,1,2,2,1,150
1,3,1,0,2,2000.0,0,3,2,1,10,4,2,0,3,0,0,2,0,300
1,0,1,0,3,0.0,0,3,8,3,60,4,2,1,3,2,2,2,0,1000
0,0,1,0,3,0.0,0,3,8,2,50,3,4,0,12,0,2,3,1,200
1,0,1,1,3,0.0,0,3,10,3,30,4,4,1,4,2,2,0,1,150
1,0,0,0,3,0.0,0,3,7,3,60,3,3,1,5,3,0,4,1,500
1,0,1,4,0,1900.0,0,2,3,3,30,1,2,1,15,0,0,1,0,1000
1,1,1,0,3,0.0,0,2,4,1,100,2,2,0,3,0,2,1,1,2000
1,0,0,1,2,1800.0,0,3,10,3,50,3,1,1,3,1,0,2,0,100
0,0,0,0,3,800.0,0,3,12,2,20,2,3,0,4,2,2,3,1,100
1,0,0,1,3,0.0,0,3,9,3,20,5,2,0,5,1,2,3,1,100
1,0,1,1,3,500.0,0,1,5,0,10,3,5,1,5,1,3,0,1,500
1,0,1,0,3,0.0,0,3,5,3,400,3,6,0,12,1,0,1,1,50
1,0,1,0,3,0.0,0,3,12,2,10,3,5,1,3,0,2,1,0,100
1,0,1,1,3,200.0,2,3,14,3,10,3,4,0,10,0,0,1,0,50
0,0,1,1,3,0.0,0,3,2,3,13,1,3,0,6,1,2,1,1,60
0,0,0,4,0,3000.0,0,3,9,3,200,3,1,0,3,0,2,1,1,100
1,0,1,4,0,1530.0,0,1,10,2,350,5,2,1,3,7,3,2,0,300
1,0,1,0,3,0.0,0,2,15,3,100,2,3,0,3,3,2,1,1,100
0,0,1,0,3,0.0,0,3,8,3,50,2,2,0,10,4,2,2,1,4000
1,0,1,0,3,0.0,0,3,2,3,20,1,1,0,2,2,2,3,1,200
1,0,0,1,3,1000.0,0,3,7,2,400,3,3,1,2,4,0,2,0,50
1,0,1,0,3,0.0,0,3,6,3,40,5,6,1,2,0,2,3,1,2000
0,0,1,1,0,2600.0,0,3,4,3,10,3,2,0,1,4,2,1,0,200
1,0,0,0,0,2500.0,0,3,9,3,20,3,3,0,5,0,2,0,0,50
1,0,0,1,0,2000.0,0,3,8,2,15,9,2,1,3,5,2,2,0,120
0,3,0,0,0,7200.0,0,3,3,3,30,3,2,0,3,0,0,3,1,200
1,0,1,1,3,0.0,0,3,16,3,30,5,1,0,3,0,0,3,1,100
0,0,0,2,3,0.0,0,1,8,2,30,5,8,0,5,0,0,3,1,250
1,0,1,0,3,800.0,0,3,10,3,50,4,3,1,4,0,3,0,1,150
0,0,0,0,3,0.0,0,3,10,3,30,3,4,0,2,3,2,3,1,100
1,0,0,2,3,0.0,0,3,6,3,60,4,3,1,2,0,2,0,0,100
1,0,0,0,0,3500.0,0,3,8,1,20,2,4,0,5,0,0,2,1,100
1,0,1,4,0,1530.0,0,1,8,2,50,4,2,1,1,1,3,2,1,300
1,3,1,0,2,2500.0,0,3,2,3,10,4,2,0,3,0,0,0,1,400
1,2,0,0,0,6000.0,0,3,5,3,15,2,2,1,2,1,2,3,0,100
1,1,0,0,0,3000.0,0,3,8,1,20,3,1,0,3,1,0,5,1,20
0,0,0,4,3,0.0,0,3,3,1,0,2,0,0,0,0,2,1,1,20
0,0,0,4,3,0.0,0,1,14,2,0,1,3,0,2,6,2,0,1,100
1,0,0,4,3,0.0,0,3,4,3,24,3,3,0,3,0,2,2,1,50
0,0,0,4,3,0.0,2,3,1,1,0,1,1,0,0,0,2,0,1,0
0,0,0,4,3,0.0,1,3,3,3,3,2,1,0,4,3,2,2,1,10
0,0,1,4,3,0.0,0,3,9,3,3,2,3,0,3,0,2,1,1,50
1,3,1,1,2,5000.0,0,3,3,0,202,3,2,0,2,3,2,2,1,100
0,0,0,4,3,0.0,0,3,2,3,0,1,3,0,3,0,2,0,1,40
1,2,0,4,4,0.0,0,3,8,2,20,3,1,1,2,0,2,1,1,100
0,3,1,1,2,5000.0,0,3,3,2,20,2,2,0,2,3,2,3,1,300
